Solitude,Park City,Alta,Brighton,Sundance
1.0,0.9566606480000001,0.4,6.0,0.0
-0.0,0.6499999999999997,0.2711534020000002,6.0,0.0
-0.0,0.7022808049999991,-0.0,6.0,0.0
-0.0,0.6499999999999986,0.0,5.784489705000002,0.0
0.0,0.6500000000000004,0.0,5.8414172209999995,-0.0
-0.0,0.6499999999999994,0.0,5.938662014000001,1.1102230246251565e-16
-0.0,0.65,0.23014303199999941,6.0,0.0
-0.0,0.8692800179999999,0.4,6.0,0.0
-0.0,1.3618920649999997,0.4,6.0,0.0
1.0,0.9027531129999996,0.4,6.0,-0.0
1.0,1.3060175729999988,0.4,6.0,-0.0
1.0,1.4293000179999997,0.4,6.0,-0.0
1.0,1.4564378979999995,0.4,6.0,0.0
1.0,1.2400495,0.4,6.0,-0.0
1.0000000000000004,1.056412131,0.4,6.0,-0.0
1.0,1.0478166179999993,0.4,6.0,-0.0
1.0814965840000006,1.3449860059999987,0.4,6.0,-0.0
1.4558965840000007,1.4449871589999992,0.4,6.0,-0.0
1.830296584000001,1.6999999999999997,0.4,6.0,-0.0
1.7785060119999994,1.6999999999999997,0.4,6.0,0.0
1.4500034110000009,1.6999999999999997,0.4,6.0,-0.0
1.0756034110000008,1.540255886999998,0.4,6.0,-0.0
1.0,1.168249474,0.4,6.0,-0.0
-0.0,1.455317457,0.4,6.0,-0.0
